&& PYPY &&
2 & 0.0038263333333333296
3 & 0.0018569999999999975
4 & 0.005096000000000008
5 & 0.022071999999999998
6 & 0.023257333333333352
7 & 0.05249866666666666
8 & 0.18223999999999999
9 & 0.735414
10 & 2.808821333333333
11 & 11.173498666666667

&&PYTHON&&
2 & 0.004408121109008789
3 & 0.0025892257690429688
4 & 0.004654645919799805
5 & 0.01565098762512207
6 & 0.06262898445129395
7 & 0.22019004821777344
8 & 0.8590941429138184
9 & 3.8054428100585938
10 & 15.620275020599365
11 & 65.82012176513672
